OX,OY,DX,DY
40.643581,-73.789856,40.741676,-73.721741
40.642769,-73.789246,40.798943,-73.962021
40.643478,-73.789635,40.794109,-73.972374
40.643421,-73.790131,40.878403,-73.830521
40.643379,-73.78965,40.736038,-74.00486
40.643219,-73.789986,40.698338,-73.935089
40.6436,-73.789581,40.797791,-73.939713
40.643848,-73.789993,40.775208,-73.963425
40.643501,-73.790024,40.70203,-73.919769
40.643871,-73.790031,40.75227,-74.004898
40.643494,-73.789833,40.738079,-73.922562
40.643787,-73.790031,40.715893,-73.93969
40.643532,-73.790001,40.702572,-73.812317
40.643799,-73.789268,40.800804,-73.966515
40.643848,-73.79007,40.644157,-73.782455
40.643608,-73.789803,40.738789,-74.005203
40.643608,-73.78994,40.71389,-73.895607
40.643078,-73.789162,40.743881,-73.998955
40.643711,-73.790276,40.700764,-73.929855
40.642876,-73.789238,40.667072,-73.793633
40.64241,-73.789307,40.682194,-74.000305
40.643608,-73.789757,40.648548,-73.88269
40.643841,-73.789902,40.736549,-73.935936
